127.0.0.1 - - [27/Sep/2021:09:28:55 +0900] "GET / HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:28:57 +0900] "GET / HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:02 +0900] "GET /guest_list.do HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:02 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:02 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:02 +0900] "GET /Guest/img/search2.gif HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:02 +0900] "GET /Guest/img/write.gif HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:11 +0900] "GET /guest_view.do?idx=3 HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:11 +0900] "GET /img/bullet-01.gif HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:11 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:11 +0900] "GET /img/bullet-04.gif HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:11 +0900] "GET /img/list-2.gif HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:16 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:18 +0900] "GET /guest_list.do HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:18 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:18 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:18 +0900] "GET /Guest/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:18 +0900] "GET /Guest/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:22 +0900] "GET /guest_view.do?idx=3 HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:22 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:22 +0900] "GET /img/bullet-01.gif HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:22 +0900] "GET /img/bullet-04.gif HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:22 +0900] "GET /img/list-2.gif HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:29:27 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:34 +0900] "GET /guest_list.do HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:34 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:34 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:34 +0900] "GET /Guest/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:34 +0900] "GET /Guest/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:40 +0900] "GET /guest_view.do?idx=4 HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:40 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:40 +0900] "GET /img/bullet-01.gif HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:40 +0900] "GET /img/bullet-04.gif HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:40 +0900] "GET /img/list-2.gif HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:43 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:46 +0900] "GET /guest_list.do HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [27/Sep/2021:09:34:46 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
